Wall time,Step,Value
1716030818.218397,819,0.30000001192092896
1716030828.514802,828,0.30000001192092896
1716030833.115409,832,0.30000001192092896
1716030834.299467,833,0.10000000149011612
1716030836.5597591,835,0.10000000149011612
1716030837.621699,836,0.5
1716030841.5124302,839,0.4000000059604645
1716030842.913939,840,0.20000000298023224
1716030846.200618,843,0.0
1716030847.923808,845,0.30000001192092896
1716030855.3604212,851,0.20000000298023224
1716030862.168019,857,0.0
1716030865.67928,860,0.4000000059604645
1716030867.2472808,862,0.30000001192092896
1716030872.098485,866,0.10000000149011612
1716030877.430332,870,0.10000000149011612
1716030878.4536572,871,0.5
1716030893.24048,884,0.20000000298023224
1716030895.650895,886,0.5
1716030903.758909,892,0.6000000238418579
1716030907.3233569,895,0.10000000149011612
1716030909.895277,897,0.10000000149011612
1716030915.061553,901,0.30000001192092896
1716030916.501707,902,0.10000000149011612
1716030923.6112719,908,0.30000001192092896
1716030925.974716,910,0.10000000149011612
1716030935.365301,918,0.20000000298023224
1716030939.3537889,921,0.4000000059604645
1716030946.770176,928,0.10000000149011612
1716030949.46278,930,0.20000000298023224
1716030950.650254,931,0.20000000298023224
1716030951.873106,932,0.30000001192092896
1716030963.484848,942,0.10000000149011612
1716030971.9066381,949,0.0
1716030975.296261,952,0.20000000298023224
1716030978.736784,955,0.20000000298023224
1716030988.007255,963,0.699999988079071
1716031004.9131782,978,0.20000000298023224
1716031005.993525,979,0.4000000059604645
1716031008.752874,982,0.20000000298023224
1716031012.8748841,986,0.10000000149011612
1716031017.642987,990,0.4000000059604645
1716031019.684373,992,0.20000000298023224
1716031021.596416,994,0.4000000059604645
1716031027.209837,999,0.20000000298023224
1716031030.884833,1002,0.5
1716031032.09745,1003,0.10000000149011612
1716031033.135932,1004,0.30000001192092896
1716031035.675492,1006,0.10000000149011612
1716031044.1683269,1013,0.0
1716031046.008576,1015,0.5
1716031054.707941,1022,0.10000000149011612
1716031058.338222,1026,0.20000000298023224
1716031061.05901,1028,0.30000001192092896
1716031069.197076,1035,0.10000000149011612
1716031070.423566,1036,0.30000001192092896
1716031071.752191,1037,0.30000001192092896
1716031078.042437,1043,0.30000001192092896
1716031081.260072,1046,0.30000001192092896
1716031092.403523,1056,0.30000001192092896
1716031096.8261561,1060,0.10000000149011612
1716031098.743854,1062,0.30000001192092896
1716031105.567731,1070,0.4000000059604645
1716031106.5908952,1071,0.5
1716031108.515255,1073,0.30000001192092896
1716031111.712641,1077,0.6000000238418579
1716031115.462016,1080,0.4000000059604645
1716031121.3327959,1086,0.10000000149011612
1716031122.3602262,1087,0.20000000298023224
1716031136.084264,1098,0.30000001192092896
1716031140.0729249,1102,0.30000001192092896
1716031141.758643,1104,0.4000000059604645
1716031145.258555,1107,0.4000000059604645
1716031147.678381,1109,0.10000000149011612
1716031150.385804,1111,0.20000000298023224
1716031153.664593,1114,0.20000000298023224
1716031160.932477,1121,0.20000000298023224
1716031162.139515,1122,0.20000000298023224
1716031165.887808,1125,0.10000000149011612
1716031167.2414799,1126,0.5
1716031171.032903,1129,0.20000000298023224
1716031174.090975,1132,0.30000001192092896
1716031176.6659122,1134,0.30000001192092896
1716031181.393058,1139,0.0
1716031189.985488,1146,0.4000000059604645
1716031195.499999,1151,0.20000000298023224
1716031196.697383,1152,0.20000000298023224
1716031207.896202,1162,0.5
1716031210.268291,1164,0.10000000149011612
1716031221.343338,1174,0.4000000059604645
1716031223.5960362,1176,0.20000000298023224
1716031224.473878,1177,0.4000000059604645
1716031230.620748,1182,0.10000000149011612
1716031233.058209,1184,0.30000001192092896
1716031238.647646,1189,0.4000000059604645
1716031243.136533,1193,0.10000000149011612
1716031244.278315,1194,0.20000000298023224
1716031248.886395,1197,0.10000000149011612
1716031259.577442,1206,0.30000001192092896
1716031267.96139,1214,0.20000000298023224
1716031272.04564,1218,0.10000000149011612
1716031277.401338,1223,0.4000000059604645
1716031278.978807,1225,0.20000000298023224
1716031282.6340501,1229,0.5
1716031411.844793,1244,0.4000000059604645
1716031413.69063,1246,0.5
1716031418.392904,1250,0.20000000298023224
1716031419.546443,1251,0.20000000298023224
1716031420.5576499,1252,0.20000000298023224
