rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range
-24.053178787231445,1185792,25.0,286,4141,193,-0.01716985159170387,0.010517434,0.10782877604166667,0.0003,0.8422948569059372,-0.02816224843263626,-0.7347526385138432,0.0016992745904038506,1920,0.2
-21.023639678955078,1191936,25.0,287,4141,194,-0.015836116873591283,0.0096630845,0.09615885416666667,0.0003,0.8146488517522812,-0.030299575999379158,-0.7376806795597076,0.002037449163799465,1930,0.2
-20.548242568969727,1198080,25.0,289,4142,195,-0.015376162017491878,0.010240885,0.10096028645833334,0.0003,0.8236301988363266,-0.02968602068722248,-0.7442915833244721,0.001827756202025436,1940,0.2
-22.260265350341797,1204224,25.0,290,4142,196,-0.016632497010141377,0.01046433,0.10574544270833333,0.0003,0.8632990568876266,-0.01671658828854561,-0.7192138715957602,0.0016956020480696074,1950,0.2
-21.350893020629883,1210368,25.0,292,4142,197,-0.015982151933712885,0.010796239,0.10262044270833333,0.0003,0.8225262761116028,-0.0165715329349041,-0.7434018166735769,0.0019076745293205022,1960,0.2
-21.598308563232422,1216512,25.0,293,4142,198,-0.01465401074043863,0.010234461,0.10672200520833333,0.0003,0.8289677053689957,-0.03770994395017624,-0.7314474317555626,0.002130423308517493,1970,0.2
-21.371688842773438,1222656,25.0,295,4142,199,-0.015404742896498647,0.01006882,0.10367838541666667,0.0003,0.8495892882347107,-0.015249527059495449,-0.7203663780043522,0.0016827587539713325,1980,0.2
-20.930261611938477,1228800,25.0,296,4142,200,-0.014718349262451132,0.009228288,0.09933268229166667,0.0003,0.8582151085138321,-0.02715548686683178,-0.7156221008549134,0.0015605558607906763,1990,0.2
-20.442445755004883,1234944,25.0,298,4142,201,-0.017427308367041407,0.011260669,0.108544921875,0.0003,0.8687860816717148,-0.03699139133095741,-0.7501628164201974,0.0013770680827292381,2000,0.2
-20.52924346923828,1241088,25.0,299,4142,202,-0.01719679110586488,0.010217095,0.09871419270833333,0.0003,0.8797014430165291,-0.03316974639892578,-0.7051259920621912,0.001361893230144536,2010,0.2
-19.8831729888916,1247232,25.0,301,4142,203,-0.014312376916738383,0.008294624,0.08880208333333334,0.0003,0.8436584174633026,-0.022786641493439674,-0.7066200795893868,0.0015655945800972404,2020,0.2
-20.46088409423828,1253376,25.0,302,4143,204,-0.01638776364222091,0.011081002,0.105712890625,0.0003,0.8485686480998993,-0.02560441754758358,-0.7171849774817626,0.0013863409040520006,2030,0.2
